,x0,x1,k2,k3,k4,k5,k6,k7,k8,k9,k10
,,,,,,,,,,,
,,,,,,,,,,,
Precinct,,,,,,,,,,,
39-910 Emmonak,0.437746668025,-0.673360586515,0,2,1,3,0,1,3,2,5
39-912 Gambell,0.780891016291,-0.52691250404,0,2,1,3,0,1,3,2,5
39-914 Golovin,0.780646159559,-0.208763620181,0,2,1,0,3,1,7,3,8
39-916 Hooper Bay,0.474877243742,-0.570638210491,0,2,1,3,0,0,3,2,5
39-918 Kotlik,0.448550853821,-0.697599256305,0,2,1,3,0,0,3,2,5
39-920 Koyuk,0.809003228499,-0.436170427673,0,2,1,3,0,1,0,2,8
39-922 Mountain Village,0.521384037785,-0.401890023592,0,2,1,3,0,0,3,2,5
39-924 Nome No. 1,0.365445409226,0.00266781507022,0,1,1,0,5,1,6,4,1
39-926 Nome No. 2,0.498748595232,0.0422478890255,0,2,3,0,5,1,7,4,1
39-928 Nunam Iqua,0.659109508276,-0.34001265969,0,2,1,0,3,1,7,3,1
39-930 Pilot Station,0.253542711664,-0.843065988834,0,2,1,3,0,0,3,2,5
39-932 Savoonga,0.804173601855,-0.712004985013,0,2,1,3,0,1,3,2,5
39-934 Scammon Bay,0.802572480093,-0.240712172397,0,2,1,0,3,1,0,3,8
39-936 Shaktoolik,0.683224544662,-0.39445071605,0,2,1,3,0,1,0,2,8
39-938 Shishmaref,0.781684631731,-0.479297448091,0,2,1,3,0,1,0,2,8
39-940 St. Mary's,0.797598823754,-0.0976331396063,0,2,1,0,3,1,7,3,8
39-942 St. Michael,0.43700221656,-0.499584216584,0,2,1,3,0,0,3,2,5
39-944 Stebbins,0.31076343615,-0.707594103473,0,2,1,3,0,0,3,2,5
39-946 Teller,0.640910956752,-0.572026751473,0,2,1,3,0,0,3,2,5
39-948 Unalakleet,0.590814073689,-0.0833159913282,0,2,1,0,0,1,0,2,8
39-950 Wales,0.750432138674,-0.442953385052,0,2,1,3,0,1,0,2,5
39-952 White Mountain,0.753403691825,-0.19328982763,0,2,1,0,3,1,7,3,1
40-002 Ambler,0.582149289023,-0.521079648773,0,2,1,3,0,1,3,2,5
40-004 Anaktuvuk Pass,0.314543133747,-0.511393376795,0,2,1,3,0,0,3,2,5
40-006 Atqasuk,0.0918914388594,-0.693574821159,0,2,1,3,0,0,3,2,5
40-008 Barrow,0.482379110961,-0.200371690808,0,2,1,3,0,0,3,2,5
40-010 Browerville,0.398590395171,-0.25309420842,0,2,1,3,0,0,3,2,5
40-012 Buckland,0.434238095578,-0.783088303844,0,2,1,3,0,0,3,2,5
40-014 Deering,0.648414926275,-0.626499040586,0,2,1,3,0,1,3,2,5
40-016 Kaktovik,0.389739636455,-0.560350424409,0,2,1,3,0,0,3,2,5
40-018 Kiana,0.501117995259,-0.671268600562,0,2,1,3,0,0,3,2,5
40-020 Kivalina,0.308724935006,-0.787260743404,0,2,1,3,0,0,3,2,5
40-022 Kobuk,0.13844853834,-0.764391387869,0,2,1,3,0,0,3,2,5
40-024 Kotzebue,0.534881864911,-0.0971942149983,0,2,1,0,3,1,7,3,1
40-026 Noatak,0.34329020442,-0.607411183149,0,2,1,3,0,0,3,2,5
40-028 Noorvik,0.205568984682,-0.75607460796,0,2,1,3,0,0,3,2,5
40-030 Nuiqsut,0.281873151477,-0.659221785657,0,2,1,3,0,0,3,2,5
40-032 Point Hope,0.406007682535,-0.385150254268,0,2,1,3,0,0,3,2,5
40-034 Point Lay,0.198123554801,-0.557497219636,0,2,1,3,0,0,0,2,5
40-036 Selawik,0.234082306812,-0.687827685725,0,2,1,3,0,0,3,2,5
40-038 Shungnak,0.616821619036,-0.733196830117,0,2,1,3,0,1,0,2,5
40-040 Wainwright,0.0307817943074,-0.623453010943,0,2,1,3,0,0,3,2,5
40-326 Allakaket,1.09700447382,-0.342382296522,0,2,1,0,3,1,7,3,8
40-328 Bettles,-0.142446284707,0.11493309968,1,1,2,1,5,4,6,4,2
40-330 Hughes,0.884445519106,-0.174992683736,0,2,1,0,0,1,0,2,8
